"length","VTRepetitionCode (2-ary) (deletions)","VTRepetitionCode (2-ary) (seconds)","VTRepetitionNaryCode (4-ary) (deletions)","VTRepetitionNaryCode (4-ary) (seconds)","VTRepetitionNaryCode (8-ary) (deletions)","VTRepetitionNaryCode (8-ary) (seconds)"
50,9,0.0043315887451171875,2,0.013559897740681967,1,0.013382911682128906
100,9,0.008040030797322592,4,0.028696457544962566,3,0.03215583165486654
150,19,0.013533989588419596,2,0.04175504048665365,4,0.04293505350748698
200,29,0.01638166109720866,8,0.05199329058329264,5,0.056314309438069664
250,39,0.020052115122477215,10,0.06575791041056316,6,0.06856218973795573
