"length","VTRepetitionNaryCode (deletions)","VTRepetitionNaryCode (seconds)","VTRepetitionNaryCode (deletions)","VTRepetitionNaryCode (seconds)"
50,2,0.009656906127929688,1,0.010618845621744791
100,4,0.020005146662394207,3,0.021660725275675457
150,2,0.030536890029907227,4,0.03263076146443685
200,8,0.04466883341471354,5,0.04799755414326986
250,10,0.05566668510437012,6,0.06247862180074056
300,13,0.0701003869374593
