"length","RandomCode (1 options) (deletions)","RandomCode (1 options) (seconds)","RandomGreedyCode (2 options) (deletions)","RandomGreedyCode (2 options) (seconds)","RandomGreedyCode (3 options) (deletions)","RandomGreedyCode (3 options) (seconds)","RandomGreedyCode (4 options) (deletions)","RandomGreedyCode (4 options) (seconds)","RandomGreedyCode (5 options) (deletions)","RandomGreedyCode (5 options) (seconds)"
50,7,0.0017879009246826172,17,0.055726846059163414,18,0.08922497431437175,18,0.11116361618041992,18,0.13601167996724448
100,14,0.00506901741027832,36,0.5766204198201498,36,0.8465704917907715,37,1.1260775725046794,37,1.405340353647868
150,21,0.01007994016011556,60,2.420702854792277,59,3.635005156199137,61,4.834634304046631,61,6.039767901102702
200,31,0.016614516576131184,81,7.005941390991211,82,10.496370712916056,77,13.98686671257019,80,17.50402283668518
250,39,0.024947166442871094,105,16.483624776204426,103,24.68845264116923,101,32.9452166557312,103,41.16991980870565
300,47,0.034886678059895836,127,32.892151514689125,121,49.32956051826477,127,65.7780266602834,127,82.22423752148946
350,56,0.04626218477884928,150,59.09371852874756,147,88.63094051678975,148,118.11725155512492,147,147.6049064795176
