"length","VTRepetitionCode (2-ary) (deletions)","VTRepetitionCode (2-ary) (seconds)","VTRepetitionNaryCode (4-ary) (deletions)","VTRepetitionNaryCode (4-ary) (seconds)","VTRepetitionNaryCode (8-ary) (deletions)","VTRepetitionNaryCode (8-ary) (seconds)"
50,9,0.002754847208658854,2,0.009356816609700521,1,0.009856224060058594
100,9,0.0050478776295979815,4,0.018981297810872395,3,0.02025492986043294
150,19,0.007953246434529623,2,0.029126087824503582,4,0.03186202049255371
200,29,0.015982786814371746,8,0.03776121139526367,5,0.0423582394917806
250,39,0.012348254521687826,10,0.05706342061360677,6,0.05262128512064616
